iso_code;continent;location;date;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_deaths_smoothed_per_million;reproduction_rate;icu_patients;icu_patients_per_million;hosp_patients;hosp_patients_per_million;weekly_icu_admissions;weekly_icu_admissions_per_million;weekly_hosp_admissions;weekly_hosp_admissions_per_million;new_tests;total_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;new_vaccinations_smoothed_per_million;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index
ALB;Europe;Albania;20.05.2021;132118.0;23.0;32.571;2440.0;2.0;2.0;45909.375;7.992;11.318;847.87;0.695;0.695;0.59;;;;;;;;;;;;;;;;;;703743.0;466083.0;237660.0;5932.0;9344.0;24.45;16.lut;sie.26;3247.0;60.19;2877800.0;104.871;38.0;13.188;8.643;11803.431;01.sty;304.195;10.sie;07.sty;51.2;;lut.89;78.57;0.795
AND;Europe;Andorra;20.05.2021;13569.0;0.0;14.143;127.0;0.0;0.0;175616.385;0.0;183.044;1643.694;0.0;0.0;0.56;;;;;;;;;;;;;;;;;;;;;;;;;;;43.52;77265.0;163.755;;;;;;109.135;lip.97;29.0;37.8;;;83.73;0.868
AUT;Europe;Austria;20.05.2021;639616.0;562.0;674.714;10527.0;19.0;11.857;71017.943;62.4;74.915;1168.835;02.lis;1.317;0.67;;;;;;;;;388652.0;37626034.0;4177.7;43.153;261046.0;28.984;0.003;386.9;tests performed;4406530.0;3223264.0;1203488.0;107488.0;71113.0;48.93;35.79;13.36;7896.0;56.48;9006400.0;106.749;44.4;19.202;13.748;45436.686;0.7;145.183;cze.35;28.kwi;30.wrz;;lip.37;81.54;0.922
BLR;Europe;Belarus;20.05.2021;381546.0;1457.0;1329.143;2742.0;10.0;10.143;40378.139;154.191;140.66;290.18;1.058;1.073;sty.13;;;;;;;;;;6154084.0;651.273;;16849.0;1.783;0.079;12.lip;tests performed;;;;;16821.0;;;;1780.0;42.59;9449321.0;46.858;40.3;14.799;9.788;17167.967;;443.129;maj.18;10.maj;46.1;;11.0;74.79;0.823
BEL;Europe;Belgium;20.05.2021;1041706.0;3192.0;2176.143;24794.0;26.0;21.286;89882.702;275.419;187.767;2139.329;2.243;1.837;0.96;;;;;;;;;57518.0;13542951.0;1168.542;4.963;47253.0;4.077;0.056;17.wrz;tests performed;5804147.0;4253178.0;1596306.0;140608.0;107198.0;50.08;36.7;13.77;9249.0;50.93;11589616.0;375.564;41.8;18.571;12.849;42658.576;0.2;114.898;kwi.29;25.sty;31.4;;maj.64;81.63;0.931
BIH;Europe;Bosnia and Herzegovina;20.05.2021;203018.0;171.0;145.0;9096.0;10.0;19.714;61880.356;52.121;44.196;2772.482;3.048;6.009;0.64;;;;;;;;;2121.0;954240.0;290.855;0.646;2569.0;0.783;0.056;17.lip;tests performed;;;;;;;;;;42.59;3280815.0;68.496;42.5;16.569;10.711;11713.895;0.2;329.635;10.sie;30.2;47.7;97.164;03.maj;77.4;0.78
BGR;Europe;Bulgaria;20.05.2021;416055.0;368.0;390.714;17447.0;31.0;36.143;59877.426;52.961;56.23;2510.922;4.461;5.202;0.62;;;;;;;;;11059.0;2709565.0;389.953;1.592;11187.0;sty.61;0.035;28.cze;tests performed;1225601.0;746125.0;479476.0;34204.0;21725.0;17.64;paü.74;06.wrz;3127.0;50.93;6948445.0;65.18;44.7;20.801;13.272;18563.307;01.maj;424.688;maj.81;30.sty;44.4;;7.454;75.05;0.816
HRV;Europe;Croatia;20.05.2021;352692.0;695.0;647.714;7828.0;36.0;29.286;85912.053;169.295;157.776;1906.818;8.769;7.134;0.58;;;;;;;;;7038.0;1953059.0;475.745;1.714;6665.0;1.624;0.097;10.mar;people tested;;;;;33070.0;;;;8056.0;49.07;4105268.0;73.726;44.0;19.724;13.053;22669.797;0.7;253.782;maj.59;34.3;39.9;;maj.54;78.49;0.851
CYP;Europe;Cyprus;20.05.2021;71610.0;77.0;148.429;350.0;2.0;1.143;81756.002;87.91;169.459;399.589;2.283;1.305;0.53;;;;;;;;;49364.0;6417654.0;7326.934;56.358;63074.0;72.011;0.002;424.9;tests performed;;;;;11110.0;;;;12684.0;62.96;875899.0;127.657;37.3;13.416;8.563;32415.132;;141.171;wrz.24;19.cze;52.7;;03.kwi;80.98;0.887
CZE;Europe;Czechia;20.05.2021;1656202.0;788.0;893.571;29967.0;19.0;20.286;154655.41;73.583;83.441;2798.305;1.774;1.894;0.64;;;;;;;;;246899.0;;;23.055;204511.0;19.097;0.004;250.0;tests performed;4497607.0;3357429.0;1167418.0;98242.0;70585.0;42.0;31.35;10.wrz;6591.0;50.93;10708982.0;137.176;43.3;19.027;lis.58;32605.906;;227.485;cze.82;30.maj;38.3;;cze.63;79.38;0.9
DNK;Europe;Denmark;20.05.2021;271261.0;1214.0;1006.714;2507.0;1.0;1.0;46832.095;209.592;173.805;432.823;0.173;0.173;01.kwi;;;;;;;;;;;;;;;;;;2932888.0;1786789.0;1146099.0;54613.0;50062.0;50.64;30.85;19.79;8643.0;53.7;5792203.0;136.52;42.3;19.677;12.325;46682.515;0.2;114.767;cze.41;19.mar;18.sie;;02.maj;80.9;0.94
EST;Europe;Estonia;20.05.2021;128084.0;327.0;245.714;1235.0;3.0;3.286;96555.02;246.506;185.23;930.994;2.262;2.477;0.81;;;;;;;;;4729.0;1390528.0;1048.238;3.565;4753.0;3.583;0.052;19.mar;tests performed;617865.0;423603.0;194262.0;14721.0;7398.0;46.58;31.93;14.64;5577.0;;1326539.0;31.033;42.7;19.452;13.491;29481.252;0.5;255.569;04.lut;24.maj;39.3;;kwi.69;78.74;0.892
FRO;Europe;Faeroe Islands;20.05.2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;170.0;;;;3479.0;38.89;48865.0;35.308;;;;;;;;;;;;80.67;
